City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ierapetra,35.01,25.7353,19.52,53,76,4.92,GR,1701875576
1,sardinata,8.0829,-72.8007,31.82,46,60,1.55,CO,1701875577
2,arraial do cabo,-22.9661,-42.0278,29.92,62,0,8.75,BR,1701875577
3,ushuaia,-54.8,-68.3,10.79,73,74,5.14,AR,1701875577
4,afaahiti,-17.75,-149.2833,22.93,86,100,7.14,PF,1701875578
5,constantia,44.1833,28.65,7.61,76,100,8.15,RO,1701875506
6,margaret river,-33.95,115.0667,15.66,75,2,6.03,AU,1701875578
7,adamstown,-25.066,-130.1015,22.62,79,100,5.49,PN,1701875355
8,kapa'a,22.0752,-159.319,24.18,78,20,5.14,US,1701875579
9,albany,42.6001,-73.9662,0.21,87,100,0.45,US,1701875521
10,pollau,47.3,15.8333,5.42,99,91,0.41,AT,1701875580
11,rio grande,-32.035,-52.0986,23.06,93,100,3.44,BR,1701875580
12,taroa,8.7058,171.2275,27.82,78,14,8.49,MH,1701875580
13,grytviken,-54.2811,-36.5092,0.53,85,95,17.43,GS,1701875580
14,geraldton,-28.7667,114.6,21.23,78,0,6.69,AU,1701875497
15,nazarovo,56.0064,90.3914,-15.48,96,100,2.68,RU,1701875581
16,anadyr,64.75,177.4833,-20.56,83,100,13.0,RU,1701875581
17,puerto ayora,-0.7393,-90.3518,27.98,93,83,4.02,EC,1701875582
18,bardai,11.65,7.2333,31.87,12,4,3.57,NG,1701875582
19,codrington,-38.2667,141.9667,10.52,80,100,0.64,AU,1701875582
20,qaqortoq,60.7167,-46.0333,3.82,59,100,6.8,GL,1701875583
21,isafjordur,66.0755,-23.124,-2.98,68,0,1.03,IS,1701875583
22,college,64.8569,-147.8028,-13.82,83,100,0.0,US,1701875583
23,yellowknife,62.456,-114.3525,-19.27,99,76,0.36,CA,1701875443
24,la'ie,21.6477,-157.9253,24.66,81,12,4.02,US,1701875584
25,lihue,21.9789,-159.3672,23.77,75,20,5.14,US,1701875584
26,carauari,-4.8828,-66.8958,24.89,92,100,1.33,BR,1701875585
27,namtsy,62.7161,129.6658,-48.8,99,69,0.9,RU,1701875585
28,kodiak,57.79,-152.4072,-2.27,64,0,9.26,US,1701875369
29,uturoa,-16.7333,-151.4333,25.41,84,100,8.87,PF,1701875586
30,port alfred,-33.5906,26.891,20.1,83,100,4.02,ZA,1701875586
31,mangrol,21.1167,70.1167,26.44,56,63,3.33,IN,1701875587
32,punta arenas,-53.15,-70.9167,11.06,62,75,16.46,CL,1701875587
33,levuka,50.1834,-105.4011,2.49,88,38,0.67,CA,1701875588
34,kampong speu,11.5,104.3333,26.81,73,83,1.17,KH,1701875588
35,waitangi,-43.9535,-176.5597,13.23,96,100,2.68,NZ,1701875330
36,shindand,33.3029,62.1474,11.9,18,0,1.56,AF,1701875589
37,bilibino,68.0546,166.4372,-31.18,99,100,1.72,RU,1701875589
38,mawu,29.5923,107.3139,11.18,83,0,0.91,CN,1701875589
39,port-aux-francais,-49.35,70.2167,5.28,87,100,10.57,TF,1701875590
40,la libertad,-2.2333,-80.9,28.81,70,40,2.06,EC,1701875590
41,bela,25.9333,81.9833,21.07,60,40,2.79,IN,1701875590
42,saint-philippe,-21.3585,55.7679,25.77,81,60,1.86,RE,1701875591
43,port mathurin,-19.6833,63.4167,26.26,79,4,4.25,MU,1701875591
44,blackmans bay,-43.0167,147.3167,12.07,87,53,2.18,AU,1701875591
45,cherdakly,54.3594,48.845,-17.97,99,66,1.66,RU,1701875592
46,eirunepe,-6.6603,-69.8736,24.57,92,99,0.46,BR,1701875592
47,walvis bay,-22.9575,14.5053,18.38,70,45,5.07,NA,1701875592
